0 -1996823.0 -5636288.0 -7669602.0 -1996823.0
1 -2519136.2 -5705949.5 -8426787.0 -1996823.0
2 -3562958.2 -5235665.5 -7065695.5 -1996823.0
3 -4280026.0 -5625265.5 -8101789.5 -1996823.0
4 -3105869.2 -5708218.0 -7319356.0 -1996823.0
5 -3573338.0 -5748887.0 -7817084.0 -1996823.0
6 -3176755.0 -5767383.0 -7379850.5 -1996823.0
7 -3682503.0 -5562340.5 -7054874.5 -1996823.0
8 -3699607.8 -5798648.0 -7035489.5 -1996823.0
9 -2426401.8 -5446937.5 -7281974.5 -1996823.0
10 -3565264.8 -5726163.0 -8365602.5 -1996823.0
11 89977.664 -5684220.5 -7369902.0 89977.664
12 -3742143.0 -5602855.5 -8114020.5 89977.664
13 -4223337.5 -5524460.0 -6943314.5 89977.664
14 -3533382.0 -5838144.0 -7299982.5 89977.664
15 -2935572.8 -4927815.5 -6716509.5 89977.664
16 -3089067.2 -5132014.5 -6794662.5 89977.664
17 -4068561.2 -5774596.5 -7287484.5 89977.664
18 -3707994.0 -5442422.5 -6819898.5 89977.664
19 -4155706.2 -5792803.0 -6865515.5 89977.664
20 -5002304.0 -6164734.5 -7500312.0 89977.664
